Result,TimeCategory,Color,Variant
Loss,Evening,Black,Crazyhouse
Win,Evening,White,Crazyhouse
Loss,Evening,Black,Crazyhouse
Loss,Day,White,Crazyhouse
Loss,Evening,White,Crazyhouse
Loss,Day,Black,Crazyhouse
Loss,Evening,Black,Crazyhouse
Win,Evening,Black,Crazyhouse
Loss,Day,Black,Crazyhouse
Win,Evening,White,Crazyhouse
Loss,Evening,White,Crazyhouse
Win,Day,White,Crazyhouse
Win,Morning,Black,Crazyhouse
Loss,Morning,White,Crazyhouse
Loss,Evening,Black,Crazyhouse
Loss,Evening,White,Crazyhouse
Loss,Evening,Black,Crazyhouse
Loss,Day,Black,Crazyhouse
Win,Evening,White,Crazyhouse
Win,Evening,Black,Crazyhouse
Win,Day,White,Crazyhouse
Loss,Day,White,Crazyhouse
Loss,Day,Black,Crazyhouse
Loss,Day,White,Crazyhouse
Loss,Day,White,Crazyhouse
Loss,Day,Black,Crazyhouse
Win,Evening,Black,Crazyhouse
Loss,Evening,Black,Crazyhouse
Loss,Evening,White,Crazyhouse
Loss,Evening,Black,Crazyhouse
Loss,Evening,Black,Crazyhouse
Loss,Evening,White,Crazyhouse
Loss,Evening,Black,Crazyhouse
Loss,Evening,White,StandardShort
Loss,Evening,Black,StandardShort
Win,Day,White,StandardShort
Win,Morning,Black,StandardShort
Win,Morning,Black,StandardShort
Win,Day,Black,StandardShort
Loss,Day,Black,StandardShort
Win,Day,White,StandardShort
Loss,Evening,Black,StandardShort
Loss,Morning,White,StandardShort
Loss,Morning,White,StandardLong
Loss,Morning,White,StandardLong
Loss,Day,White,StandardLong
Loss,Morning,Black,StandardLong
Loss,Morning,White,StandardLong
Loss,Morning,White,StandardLong
Loss,Day,Black,StandardShort
Loss,Day,White,StandardShort
Loss,Day,Black,StandardShort
Loss,Morning,White,Crazyhouse
Loss,Morning,Black,StandardLong
Win,Morning,Black,StandardLong
Loss,Morning,White,StandardLong
Win,Evening,White,StandardShort
Win,Evening,Black,StandardShort
Loss,Day,Black,StandardLong
Loss,Evening,Black,Crazyhouse
Win,Morning,Black,StandardLong
Loss,Evening,White,StandardLong
Loss,Evening,White,StandardLong
Loss,Evening,Black,StandardLong
Loss,Evening,White,StandardLong
Loss,Evening,White,StandardLong
Loss,Evening,Black,StandardLong
Loss,Evening,Black,StandardLong
Loss,Evening,Black,StandardLong
Win,Morning,White,StandardLong
Win,Evening,White,StandardLong
Loss,Evening,White,StandardLong
Loss,Evening,Black,StandardLong
Loss,Morning,White,StandardLong
Win,Evening,White,StandardLong
Loss,Evening,Black,StandardShort
Loss,Day,White,StandardShort
Loss,Evening,Black,Crazyhouse
Loss,Evening,Black,Crazyhouse
Loss,Evening,Black,Crazyhouse
Loss,Day,White,Crazyhouse
Loss,Day,Black,Crazyhouse
Loss,Day,White,Crazyhouse
Loss,Day,White,Crazyhouse
Win,Evening,Black,Crazyhouse
Win,Evening,White,Crazyhouse
Loss,Day,Black,Crazyhouse
Loss,Day,Black,Crazyhouse
Win,Evening,Black,Crazyhouse
Loss,Evening,White,Crazyhouse
Loss,Evening,White,Crazyhouse
Loss,Evening,White,Crazyhouse
Loss,Evening,Black,Crazyhouse
Loss,Day,White,Crazyhouse
Loss,Day,White,StandardShort
Loss,Day,Black,StandardShort
Win,Day,White,StandardShort
Win,Evening,White,Crazyhouse
Loss,Morning,Black,StandardShort
Win,Morning,Black,StandardShort
Loss,Morning,Black,StandardShort
Win,Evening,Black,StandardShort
Loss,Day,White,Crazyhouse
Loss,Day,Black,Crazyhouse
Win,Evening,White,Crazyhouse
Loss,Morning,Black,StandardShort
Loss,Morning,White,StandardShort
Win,Day,Black,StandardShort
Loss,Day,White,StandardShort
Loss,Day,Black,StandardShort
Loss,Evening,White,Crazyhouse
Loss,Day,Black,Crazyhouse
Loss,Day,Black,Crazyhouse
Loss,Evening,Black,StandardShort
Loss,Evening,White,Crazyhouse
Loss,Day,Black,Crazyhouse
Loss,Day,White,Crazyhouse
Win,Day,White,Crazyhouse
Win,Day,White,Crazyhouse
Win,Evening,Black,Crazyhouse
Loss,Evening,White,Crazyhouse
Loss,Evening,Black,Crazyhouse
Loss,Day,Black,Crazyhouse
Loss,Day,Black,Crazyhouse
Loss,Morning,Black,StandardLong
Loss,Evening,White,StandardShort
Loss,Day,Black,Crazyhouse
Loss,Day,White,Crazyhouse
Loss,Day,White,Crazyhouse
Loss,Day,Black,Crazyhouse
Loss,Day,White,Crazyhouse
Win,Day,White,Crazyhouse
Loss,Morning,Black,Crazyhouse
Loss,Evening,White,StandardLong
Win,Evening,White,StandardLong
Win,Evening,White,StandardLong
Win,Evening,Black,StandardShort
Loss,Morning,White,Crazyhouse
Loss,Morning,White,Crazyhouse
Loss,Morning,White,Crazyhouse
Loss,Morning,Black,Crazyhouse
Loss,Morning,White,Crazyhouse
Loss,Morning,Black,Crazyhouse
Loss,Morning,White,Crazyhouse
Win,Morning,Black,StandardShort
Loss,Morning,Black,StandardShort
Loss,Morning,White,StandardShort
Win,Morning,Black,StandardShort
Loss,Morning,White,StandardShort
Loss,Morning,White,StandardShort
Loss,Morning,Black,StandardShort
Win,Day,White,Crazyhouse
Loss,Day,White,Crazyhouse
Loss,Day,Black,Crazyhouse
Loss,Day,White,Crazyhouse
Loss,Evening,White,Crazyhouse
Loss,Evening,Black,Crazyhouse
Loss,Evening,Black,Crazyhouse
Win,Evening,White,Crazyhouse
Win,Evening,White,Crazyhouse
Loss,Evening,Black,Crazyhouse
Loss,Evening,Black,Crazyhouse
Loss,Morning,Black,Crazyhouse
Loss,Day,White,StandardShort
Loss,Day,Black,StandardShort
Loss,Morning,White,Crazyhouse
Loss,Morning,Black,Crazyhouse
Win,Morning,White,Crazyhouse
Loss,Morning,Black,StandardShort
Loss,Evening,White,Crazyhouse
Loss,Evening,White,Crazyhouse
Loss,Evening,White,Crazyhouse
Win,Evening,White,Crazyhouse
Loss,Evening,White,Crazyhouse
Loss,Evening,Black,Crazyhouse
Loss,Day,Black,Crazyhouse
Loss,Evening,White,Crazyhouse
Win,Evening,White,Crazyhouse
Loss,Evening,Black,Crazyhouse
Loss,Evening,White,Crazyhouse
Loss,Evening,Black,Crazyhouse
Loss,Evening,Black,Crazyhouse
Loss,Evening,Black,Crazyhouse
Loss,Evening,Black,Crazyhouse
Loss,Evening,Black,Crazyhouse
Loss,Evening,White,Crazyhouse
Loss,Evening,White,StandardLong
Win,Evening,Black,StandardLong
Loss,Morning,Black,StandardLong
Win,Evening,Black,Crazyhouse
Win,Day,Black,Crazyhouse
Loss,Day,Black,Crazyhouse
Loss,Day,Black,Crazyhouse
Win,Day,White,Crazyhouse
Loss,Evening,Black,StandardShort
Loss,Evening,Black,StandardShort
Win,Evening,White,StandardLong
Loss,Day,Black,StandardShort
Win,Day,White,StandardShort
Loss,Day,Black,StandardShort
Loss,Day,Black,StandardShort
Loss,Evening,Black,Crazyhouse
Loss,Evening,Black,StandardShort
Win,Evening,White,StandardShort
Loss,Evening,Black,StandardShort
Loss,Evening,White,StandardShort
Loss,Evening,Black,StandardShort
Loss,Evening,Black,StandardShort
Loss,Evening,White,Crazyhouse
Win,Evening,White,StandardLong
Loss,Evening,Black,StandardShort
Loss,Evening,White,StandardShort
Loss,Evening,White,StandardShort
Loss,Evening,Black,StandardShort
Loss,Evening,White,Crazyhouse
Loss,Evening,Black,Crazyhouse
Loss,Evening,White,Crazyhouse
Win,Evening,Black,StandardShort
Loss,Day,Black,StandardShort
Loss,Day,White,StandardShort
Loss,Day,Black,StandardShort
Loss,Day,Black,Crazyhouse
Win,Day,Black,Crazyhouse
Loss,Day,White,Crazyhouse
Loss,Day,White,Crazyhouse
Win,Evening,White,Crazyhouse
Loss,Evening,White,StandardLong
Loss,Evening,White,StandardShort
Win,Evening,White,StandardShort
Loss,Evening,Black,StandardShort
Win,Evening,Black,StandardShort
Loss,Evening,White,StandardShort
Loss,Evening,Black,StandardShort
Loss,Evening,White,StandardShort
Win,Evening,Black,StandardShort
Loss,Morning,Black,StandardLong
Loss,Evening,Black,Crazyhouse
Loss,Evening,Black,Crazyhouse
Loss,Evening,Black,Crazyhouse
Win,Evening,White,StandardShort
Win,Evening,Black,StandardShort
Loss,Evening,White,StandardShort
Loss,Evening,Black,StandardShort
Win,Evening,White,StandardShort
Loss,Evening,Black,StandardShort
Win,Evening,White,StandardShort
Loss,Evening,Black,StandardShort
Loss,Evening,White,StandardShort
Win,Day,Black,StandardShort
Loss,Day,Black,StandardShort
Loss,Morning,White,StandardShort
Loss,Morning,Black,StandardShort
Loss,Day,White,StandardShort
Loss,Day,White,StandardShort
Loss,Day,Black,StandardShort
Win,Day,Black,StandardShort
Loss,Day,White,StandardShort
Loss,Morning,White,StandardShort
Loss,Morning,White,StandardShort
Loss,Morning,Black,StandardShort
Loss,Evening,Black,StandardShort
Loss,Evening,White,StandardShort
Loss,Evening,Black,Crazyhouse
Win,Evening,Black,Crazyhouse
